2024-12-06 10:54:38,726 INFO    MainThread:43852 [wandb_run.py:_finish():2155] finishing run ledouxmerlin-isima/time-series-prediction-electricity-production/vxd4wf6c
2024-12-06 10:54:38,727 ERROR   MainThread:43852 [jupyter.py:save_history():451] Run pip install nbformat to save notebook history
2024-12-06 10:54:38,727 INFO    MainThread:43852 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-12-06 10:54:38,727 INFO    MainThread:43852 [wandb_init.py:_jupyter_teardown():461] cleaning up jupyter logic
2024-12-06 10:54:38,727 INFO    MainThread:43852 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-12-06 10:54:38,727 INFO    MainThread:43852 [wandb_run.py:_restore():2402] restore
2024-12-06 10:54:38,729 INFO    MainThread:43852 [wandb_run.py:_restore():2408] restore done
2024-12-06 10:54:41,405 INFO    MainThread:43852 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-12-06 10:54:41,406 INFO    MainThread:43852 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-12-06 10:54:41,417 INFO    MainThread:43852 [wandb_run.py:_footer_sync_info():3921] logging synced files
