2024-12-06 11:28:44,058 INFO    MainThread:43852 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-06 11:28:44,059 INFO    MainThread:43852 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-06 11:28:44,060 INFO    MainThread:43852 [wandb_init.py:init():911] run started, returning control to user process
2024-12-06 11:28:44,061 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set epochs = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,061 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb epochs 5 None
2024-12-06 11:28:44,062 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,062 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb batch_size 32 None
2024-12-06 11:28:44,062 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set learning_rate = 0.005 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,062 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb learning_rate 0.005 None
2024-12-06 11:28:44,064 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set dropout_1 = 0.35 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,064 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb dropout_1 0.35 None
2024-12-06 11:28:44,064 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set dropout_2 = 0.35 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,064 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb dropout_2 0.35 None
2024-12-06 11:28:44,065 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set dropout_3 = 0.35 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,065 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb dropout_3 0.35 None
2024-12-06 11:28:44,066 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set lstm_units_1 = 100 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,066 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb lstm_units_1 100 None
2024-12-06 11:28:44,066 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set lstm_units_2 = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,066 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb lstm_units_2 50 None
2024-12-06 11:28:44,067 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set lstm_units_3 = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020D18B49FD0>>
2024-12-06 11:28:44,067 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb lstm_units_3 50 None
